Company Domain,Company Name,Website Emails,Website Phones,Website Social Links,CEO LinkedIn,CEO Twitter/X,CEO Instagram,CEO TikTok,Processing Status,Timestamp
https://www.monad.xyz,Monad,,,,https://www.linkedin.com/in/keone-hon,https://x.com/0x_eunice,,,Success,2025-08-25 16:24:29
https://www.eigencloud.xyz,Eigencloud,press@eigenlabs.org,,,,,,,Success,2025-08-25 16:25:54
https://celestia.org,Celestia,,,,,https://twitter.com/kreuzuquer,https://www.instagram.com/musalbass/,,Success,2025-08-25 16:27:18
https://ritual.net,Ritual,hello@ritual.net,,,,https://x.com/_anishagnihotri,,,Success,2025-08-25 16:28:43
https://berachain.com,Berachain,,1756126886,,,https://x.com/berachain,,,Success,2025-08-25 16:30:05
https://www.availproject.org,Availproject,,,,,https://x.com/prabalbanerjee,,,Success,2025-08-25 16:31:28
https://www.succinct.xyz,Succinct,,,,,https://x.com/keanooreeves,,,Success,2025-08-25 16:33:02
https://layerzero.network,Layerzero,,,,,https://x.com/ryanzarick,https://www.instagram.com/cryptomadsofficial/,,Success,2025-08-25 16:34:28
https://www.gensyn.ai,Gensyn,,,,https://ca.linkedin.com/in/steven-peng-3073491a7/en,https://x.com/fenbielding,,,Success,2025-08-25 16:35:56
https://ondo.finance,Ondo,,,,https://www.linkedin.com/in/nathanlallman,https://x.com/nathanlallman,,,Success,2025-08-25 16:37:23
https://centrifuge.io,Centrifuge,,,,https://ae.linkedin.com/in/anish-alfred-27230127,,,,Success,2025-08-25 16:38:47
https://movementlabs.xyz,Movementlabs,,,,,,,,Success,2025-08-25 16:45:06
https://www.espressosys.com,Espressosys,,,,,,,,Success,2025-08-25 16:50:35
https://hivemapper.com,Hivemapper,,,,https://uk.linkedin.com/in/leo-wortley-2031bb67,https://twitter.com/aseidman,,,Success,2025-08-25 16:56:07
https://weatherxm.com,Weatherxm,,,,,https://x.com/nikil511,,,Success,2025-08-25 16:57:33
https://www.privy.io,Privy,sales@privy.io,,,https://www.linkedin.com/in/adrian-marin,https://x.com/henri_stern,,,Success,2025-08-25 16:58:59
https://world.org,World,,,,https://bb.linkedin.com/in/sc-slade-5658b135,https://x.com/alexblania,,,Success,2025-08-25 17:00:22
https://farcaster.xyz,Farcaster,,,,https://in.linkedin.com/in/nayana-chakraborty-b353399a,,,,Success,2025-08-25 17:01:45
https://galactica.com,Galactica,,,,https://se.linkedin.com/in/alexander-kal%C3%A9n-757603114,,,,Success,2025-08-25 17:03:10
https://ironmill.xyz,Ironmill,,,,,,,,Failed,2025-08-25 17:04:46
